GENRE,ARTIST,ALBUM,YEAR,QUANTITY
Rock/Pop,Rolling Stones,Tattoo You,1981,1
Rock/Pop,Santana,Abraxas,x,1
Rock/Pop,Saturday Night Fever,Movie Soundtrack,1977,1
Rock/Pop,Seals & Crofts,Unborn Child,1974,1
Rock/Pop,"Seger, Bob",Night Moves,1976,1
Rock/Pop,Simon & Garfunkel,Concert in Central Park,1981,1
Rock/Pop,Simon & Garfunkel,Bridge Over Troubled Water,1969,1
Rock/Pop,Steppenwolf Gold,Greatest Hits,1972,1
Rock/Pop,Steve Miller Band,Anthology,1972,1
Rock/Pop,Steve Miller Band,Fly Like an Eagle,1976,1
Rock/Pop,Steve Miller Band,Greatest Hits: 1974-1978,1978,1
Rock/Pop,Talking Heads,Electrically,1979,1
Rock/Pop,"Taylor, James",James Taylor,1976,1
Rock/Pop,WangChung,Dance Hall Days,1984,1
Rock/Pop,Yes,Yes,1983,1
Soul/Funk/R&B,4 Seasons,Gold Edition,x,1
Soul/Funk/R&B,4 Tops,Catfish,1976,1
Soul/Funk/R&B,4 Tops,Live & In Concert,1974,1
Soul/Funk/R&B,"Astley, Rick",Whenever You Need Somebody,1987,1
Soul/Funk/R&B,Average White Band,Soul Searching,1976,1
Soul/Funk/R&B,"Benson, George",In Flight,1977,1
Soul/Funk/R&B,"Benson, George",Breezin',1976,1
Soul/Funk/R&B,Black Byrds,The Black Byrds,1976,1
Soul/Funk/R&B,Boney M,Oceans of Fantasy,1979,1
Soul/Funk/R&B,Boney M,Love for Sale,1977,1
Soul/Funk/R&B,Brick,Brick,1977,1
Soul/Funk/R&B,"Brown, James",Twist Around,x,1
Soul/Funk/R&B,Chi-Lites,A Letter To Myself,1973,1
Soul/Funk/R&B,Commodores,Midnight Magic,1979,1
Soul/Funk/R&B,Commodores,Natural High,1978,1
Soul/Funk/R&B,Commodores,Hot On the Tracks,1976,1
Soul/Funk/R&B,Commodores,Heroes,1980,1
Soul/Funk/R&B,Controllers,Sleeping Alone,1987,1
Soul/Funk/R&B,"Cooper, Michael",Love is Such a Funny Thing,1987,1
Soul/Funk/R&B,Dimples,Mr. Look So Good,1982,1
Soul/Funk/R&B,Dramatics,Jackpot,1975,1
Soul/Funk/R&B,Earth Wind & Fire,I Am,1979,1
Soul/Funk/R&B,Earth Wind & Fire,Touch The World,1987,1
Soul/Funk/R&B,Earth Wind & Fire,Gratitude,1975,1
Soul/Funk/R&B,Earth Wind & Fire,All 'N All,1977,1
Soul/Funk/R&B,Earth Wind & Fire,Best of Earth Wind & Fire,1978,2
Soul/Funk/R&B,Earth Wind & Fire,Spirit,1976,1
Soul/Funk/R&B,Earth Wind & Fire,Wanna Be The Man,1990,1
Soul/Funk/R&B,Electric Light Orchestra,Out of the Blue,1977,1
Soul/Funk/R&B,Electric Light Orchestra,Discovery,1979,1
Soul/Funk/R&B,Family Stand,Ghetto Heaven,1990,1
Soul/Funk/R&B,Foxy,Get Off,1978,1
Soul/Funk/R&B,"Gaye, Marvin",Let's Get It On,1973,1
Soul/Funk/R&B,"Gaynor, Gloria",Never Can Say Goodbye,1975,1
Soul/Funk/R&B,"Gaynor, Gloria",Experience,1975,1
Soul/Funk/R&B,Grand Funk Railroad,Grand Funk,x,1
Soul/Funk/R&B,"Green, Al",Al Green is Love,1975,1
Soul/Funk/R&B,"Henderson, Michael",In the Night Time,1978,2
Soul/Funk/R&B,Isley Brothers,3 + 3,1973,1
Soul/Funk/R&B,Isley Brothers,Live at Yankee Stadium,x,1
Soul/Funk/R&B,Isley Brothers,The Heat is On,1975,1
Soul/Funk/R&B,"Jackson, Janet",Control,1986,1
Soul/Funk/R&B,"Jackson, Millie",Lovingly Yours,1976,2
Soul/Funk/R&B,"James, Rick",Fire It Up,1979,1
Soul/Funk/R&B,"James, Rick",Come Get It,1978,1
Soul/Funk/R&B,"James, Rick",Disco Eyed Cue,1978,1
Soul/Funk/R&B,"Johnson, Jesse",Shockadelica,1986,1
Soul/Funk/R&B,KC and the Sunshine Band,KC and the Sunshine Band,1975,1
Soul/Funk/R&B,Kiddo,Kiddo,1983,1
Soul/Funk/R&B,"King, Evelyn",Smooth Talk,1977,1
Soul/Funk/R&B,Kool & th Gang,Rags to Riches,1988,1
Soul/Funk/R&B,Kool & th Gang,Victory,1986,1
Soul/Funk/R&B,Lisa Lisa and the Cult Jam,Little Jackie Wants to be a Star,1989,1
Soul/Funk/R&B,LTD,Something to Love,1977,1
Soul/Funk/R&B,LTD,"Love, Togetherness and Devotion",1978,1
soul/Funk/R&B,LTD,Devotion,1979,1
Soul/Funk/R&B,"Mayfield, Curtis",The Right Combination,1979,1
Soul/Funk/R&B,"Mayfield, Curtis",Curtis,x,1
Soul/Funk/R&B,"Mayfield, Curtis",Claudine w/ Gladys Knight,1974,1
Soul/Funk/R&B,Miracles,Greatest Hits,1964,1
Soul/Funk/R&B,"Ocean, Billy",Love Zone,1986,1
Soul/Funk/R&B,"Ocean, Billy",Suddenly,1984,1
Soul/Funk/R&B,Ohio Players Club, The Ohio Players Club,x,1
Soul/Funk/R&B,Ohio Players Club,Mr. Mean,1977,1
Soul/Funk/R&B,Ohio Players Club,Back,1988,1
Soul/Funk/R&B,Ohio Players Club,Live: 1977,1977,1
Soul/Funk/R&B,Ohio Players Club,Contradiction,1976,1
Soul/Funk/R&B,Ohio Players Club,Angel,1977,1
Soul/Funk/R&B,Ohio Players Club,Honey,1975,1
Soul/Funk/R&B,Ohio Players Club,Fire,1974,1
Soul/Funk/R&B,Ohio Players Club,Greatest Hits,1975,1
Soul/Funk/R&B,Ohio Players Club,Skin Tight,1974,1
Soul/Funk/R&B,Ohio Players Club,Climax,1974,1
Soul/Funk/R&B,Ohio Players Club,Gold,1976,1
Soul/Funk/R&B,O'Jays,The O'Jays,x,1
Soul/Funk/R&B,Parliament Funkadelic,United States of America Eats Its Young,1972,1
Soul/Funk/R&B,Parliament Funkadelic,Mothership Connection,1975,1
Soul/Funk/R&B,Parliament Funkadelic,Silly Millameter,1983,1
Soul/Funk/R&B,Pointer Sisters,Serious Slammin',1988,1
Soul/Funk/R&B,Pointer Sisters,Priority,1979,1
Soul/Funk/R&B,Pointer Sisters,Energy,1978,1
Soul/Funk/R&B,Pointer Sisters,Contact,1985,1
Soul/Funk/R&B,Pointer Sisters,Break Out,1983,1
Soul/Funk/R&B,Pointer Sisters,Black & White,1981,1
Soul/Funk/R&B,Pointer Sisters,The Pointer Sisters,1973,1
Soul/Funk/R&B,Pointer Sisters,That's a Plenty,1974,1
Soul/Funk/R&B,Pointer Sisters,Steppin,1975,1
Soul/Funk/R&B,Prince,Purple Rain,1984,1
Soul/Funk/R&B,Prince,Prince For You,1978,1
Soul/Funk/R&B,Prince,1999,1982,1
Soul/Funk/R&B,Reddings,Class,1981,1
Soul/Funk/R&B,Reddings,If Looks Could Kill,1985,1
Soul/Funk/R&B,"Richie, Lionel",Lionel Richie,1982,1
Soul/Funk/R&B,"Richie, Lionel",Can't Slow Down,1983,1
Soul/Funk/R&B,Rose Brothers,Everything's Coming Up Roses,1986,1
Soul/Funk/R&B,"Ross, Diana",Diana Ross,1970,1
Soul/Funk/R&B,Rufus,Ask Rufus,1977,1
Soul/Funk/R&B,Shotgun,III,1979,1
Soul/Funk/R&B,"Singleton, Charlie","Nothing Ventured, Nothing Gained",1987,1
Soul/Funk/R&B,Sister Sledge,Sister Sledge,1981,1
Soul/Funk/R&B,Sly & the Family Stone,Greatest Hits,x,1
Soul/Funk/R&B,Sly & the Family Stone,Stand!,1968,1
Soul/Funk/R&B,Smokey Robinson,Where There's Smoke,1979,1
soul/Funk/R&B,Smokey Robinson & The Miracles,Live,1968,1
Soul/Funk/R&B,Stargard,Stargard,1978,1
Soul/Funk/R&B,"Summer, Diana",I Remember Yesterday,1977,1
Soul/Funk/R&B,Supremes,"Mary, Scherrie & Susaye",1976,1
Soul/Funk/R&B,Supremes,Where Did Our Love Go,1964,1
Soul/Funk/R&B,Taka Boom,Taka Boom,1979,1
Soul/Funk/R&B,Temptations,Hear to Tempt You,1977,1
Soul/Funk/R&B,Temptations,Truly For You,1984,1
Soul/Funk/R&B,Temptations,Greatest Hits,1966,1
Soul/Funk/R&B,Tom Tom Club,Close to the Bone,1983,1
Soul/Funk/R&B,Tower of Power,In the Slot,1975,1
Soul/Funk/R&B,Tower of Power,Tower of Power,1973,1
Soul/Funk/R&B,Tower of Power,Urban Renewal,1974,1
Soul/Funk/R&B,"Turner, Ike & Tina",Come Together,x,1
Soul/Funk/R&B,"Turner, Tina",Private Dancer,1983,1
Soul/Funk/R&B,Two Tons,Backatcha,1980,1
Soul/Funk/R&B,"Vandross, Luther",Til My Baby Comes Home,1985,1
Soul/Funk/R&B,"White, Barry",Stone Gon',1973,1
Soul/Funk/R&B,"Withers, Bill",Still Bill,1972,1
Soul/Funk/R&B,"Withers, Bill",Bill Withers Live at Carnegie Hall,1973,1
